id,first_name,last_name,political_position,political_position_start_at,political_position_end_at,avatar,crated_at,updated_at
1022,Matilde Pastora,Asian Gonzalez,Diputada por Las Palmas,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/172_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1023,Ignacio,Astarloa Huarte-Mendicoa,Diputado por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/243_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1024,Andres Jose,Ayala Sanchez,Diputado por Murcia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/29_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1025,Maria del Mar,Baena Azuaga,Diputada por Malaga,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/371_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1026,Maria Luz,Bajo Prieto,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/250_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1027,Joan,Baldovi Roda,Diputado por Valencia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/275_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1028,Maria Fatima,Bañez garcia,Diputada por Huelva,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/26_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1029,Marti,Barbera i Montserrat,Diputado por Tarragona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/193_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1030,Uxue,Barkos Berruezo,Diputada por Navarra,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/271_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1031,Leopoldo,Barreda de los Rios,Diputado por Bizkaia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/149_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1032,Jose Maria,Barreda Fontes,Diputado por Ciudad Real,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/293_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1033,Pilar,Barreiro Alvarez,Diputada por Murcia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/107_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1034,Jaime Javier,Barrero Lopez,Diputado por Huelva,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/20_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1035,Meritxell,Batet Lamaña,Diputada por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/330_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1036,Mario,Bedera Bravo,Diputado por Valladolid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/206_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1037,Jose Maria,Benegas Haddad,Diputado por Bizkaia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/310_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1038,Jose Maria,Beneyto perez,Diputado por Cuenca,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/93_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1039,Jose Antonio,Bermudez de Castro Fernandez,Diputado por Salamanca,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/326_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1040,Juan,Bertomeu Bertomeu,Diputado por Tarragona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/278_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1041,Jose,Blanco Lopez,Diputado por Lugo,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/96_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1042,Rosa Delia,Blanco Teran,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/205_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1043,Patricia,Blanquer Alcaraz,Diputada por Alicante,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/372_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1044,Miriam Guadalupe,Blasco Soto,Diputada por Alicante,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/49_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1045,Maria Dolores,Bolarin Sanchez,Diputada por Murcia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/309_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1046,Maria Jesus,Bonilla Dominguez,Diputada por Cuenca,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/120_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1047,Alfred,Bosch i Pascual,Diputado por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/296_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1048,Maria Concepcion,Bravo Ibañez,Diputada por La Rioja,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/86_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1049,Federido,Buyolo Garcia,Diputado por Alicante,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/92_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1050,Federido,Cabelo de Alba Hernandez,Diputado por Cordoba,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/105_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1051,Soledad,Cabezon Ruiz,Diputada por Sevilla,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/137_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1052,Francisco Domingo,Cabrera Garcia,Diputado por Las Palmas,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/176_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1053,Jesus,Caicedo Bernabe,Diputado por Almeria,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/8_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1054,Jesus,Caldera Sanchez-Capitan,Diputado por Salamanca,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/79_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1055,Antonio,Camacho Vizcaino,Diputado por Zamora,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/299_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1056,Herick Manuel,Campos Arteseros,Diputado por Alicante,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/222_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1057,Gerardo,Camps Devesa,Diputado por Alicante,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/315_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1058,Carles,Campuzano i Canades,Diputado por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/219_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1059,Alfonso,Candon Adan,Diputado por Cadiz,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/56_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1060,Joan,Canongia Gerona,Diputado por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/383_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1061,Antonio,Canto Garcia del Moral,Diputado por Valencia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/282_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1062,Maria Luisa,Carcedo Roces,Diputada por Asturias,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/266_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1063,Maria Ascension,Carreño Fernandez,Diputada por Murcia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/249_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1064,Pablo,Casado Blanco,Diputado por Avila,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/7_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1065,Helena,Castellano Ramon,Diputada por Leon,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/213_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1066,Jose Miguel,Castillo Calvin,Diputado por Granada,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/256_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1067,Jose Luis ,Centella Gomez,Diputado por Sevilla,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/23_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1068,Manuel Maria,Chaves Gonzalez,Diputado por Cadiz,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/252_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1069,Margarita del Carmen del,Cid Muñoz,Diputada por Malaga,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/236_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1070,Cipria,Ciscar Casaban,Diputado por Valencia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/329_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1071,Lourdes,Ciuro i Buldo,Diputada por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/197_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1072,Maria Teresa,Cobaleda Hernandez,Diputada por Salamanca,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/362_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1073,Sara,Cobos Trallero,Diputada por Zaragoza,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/364_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1074,Guillermo,Collarte Rodriguez,Diputado por Ourense,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/283_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1075,Ascension,De las Heras Ladera,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/69_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1076,Celso Luis,Delgado Arce,Diputado por Ourense,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/265_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1077,Rosa Maria,Diez Gonzalez,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/42_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1078,Josep Antoni,Duran i Lleida,Diputado por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/194_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1079,Eva ,Duran Ramos,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/160_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1080,Gabriel,Echavarri Fernandez,Diputado por Alicante,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/89_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1081,Gabriel,Elorriaga Pisarik,Diputado por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/73_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1082,Odon,Elorza Gonzalez,Diputado por Gipuzkoa,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/334_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1083,Onintza,Enbeita Maguregui,Diputada por Bizkaia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/370_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1084,Antonio,Erias Rey,Diputado por A Coruña,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/97_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1085,Xabier Mikel,Errekondo Saltsamendi,Diputado por Gipuzkoa,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/341_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1086,Conrado,Escobar Las Heras,Diputado por la Rioja,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/84_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1087,Beatriz Marta,Escudero Berzal,Diputada por Segovia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/15_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1088,Carolina,España Reina,Diputada por Malaga,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/235_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1089,Aitor,Esteban Bravo,Diputado por Bizkaia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/244_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1090,Maria Angeles,Esteller Rueda,Diputado por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/297_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1091,Esperanza,Esteve Ortega,Diputada por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/344_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1092,Andrea,Fabra Fernandez,Diputada por Castellon,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/9_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1093,Enrique,Fajarnes Ribas,Diputado por Illes Balears,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/6_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1094,Maravillas Concepcion,Falcon Dacal,Diputada por Albacete,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/46_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1095,Alejandro,Fernandez Alvarez,Diputado por Tarragona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/279_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1096,Maria Olaia,Fernandez davila,Diputada por Pontevedra,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/291_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1097,Jorge,Fernandez Diaz,Diputado por Barcelona,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/304_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1098,Eduardo,Fernandez Garcia,Diputado por Leon,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/298_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1099,Gracia,Fernandez Moya,Diputada por Almeria,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/365_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
